ID,Aggregate number,Module title,Member genes
M11.1,A1,Protein synthesis,"EEF1B2, EEF2, LOC388524, LOC440589, LOC441246, LOC441876, LOC642250, LOC643433, LOC644029, LOC645683, LOC645899, LOC646195, LOC646200, LOC646483, LOC646766, LOC649150, LOC649447, LOC649821, LOC653232, LOC653314, LOC731096, RPL10A, RPL12, RPL17, RPL17, RPL18, RPL18A, RPL18A, RPL18A, RPL19, RPL27, RPL35, RPL35A, RPL36, RPL4, RPL5, RPL6, RPL8, RPL9, RPLP1, RPS13, RPS14, RPS14, RPS15, RPS17, RPS18, RPS20, RPS27A, RPS3, TOMM7, TOMM7"
M11.2,A37,TBD,"ABCC4, AMFR, BAT3, BMP2K, C17ORF39, C9ORF40, DNAJB2, EIF1B, GDE1, GNA12, HS.211743, HS.57079, IQWD1, JAZF1, MED25, NSUN3, ODC1, POLR1D, PPP2R5B, PSME4, RANBP10, RNF14, RSRC1, SELK, SLC2A1, SNX3, TBC1D22B, TMEM183A, TMEM183B, UBE2F, UBQLN1, WBP2, WDR26, WDR45, WDR51B, WNK1, ZBTB44, ZER1, ZNF653"
M11.3,A37,Erythrocytes,"ASCC2, C18ORF10, C18ORF10, DPM2, EPB49, FBXO7, FBXO7, GATA1, HAGH, HEMGN, HEMGN, HMBS, KEL, LOC284422, LOC440359, LOC441081, MBNL3, MBNL3, MYL4, PDZK1IP1, PHOSPHO1, RUNDC3A, SESN3, TESC, TGM2, TRIM10, TSPAN5, VWCE"
M11.4,A37,TBD,"AP2M1, AP2M1, AP2S1, ATG9A, ATG9A, B4GALT3, BCL2L13, C13ORF15, C19ORF62, CYB5R3, DAP, DENND1A, FAM134A, HK1, JUND, MSI2, NTAN1, NUCB1, PA2G4, POLR1D, TCEB2, UBAC1, UBAP1, UBL7, UROD, WDR13, WIPI2, ZMAT2"
M12.1,A1,Protein modification,"ACAT1, ACTL6A, AHCY, AIFM1, AKAP7, APOBEC3G, ARL5A, BCCIP, BCDIN3D, BMI1, BNIP3, BXDC1, BXDC2, C14ORF112, C16ORF80, C18ORF55, C1ORF19, C3ORF28, C4ORF14, C6ORF125, C6ORF130, CCDC115, CCDC50, CCT2, CNO, COPS4, CSE1L, DCTD, DCUN1D5, DDX19B, DDX21, DIMT1L, DNAJC9, EBNA1BP2, EEF1B2, EEF1E1, EI24, EIF2B1, EMG1, ENOPH1, FAM58A, FBXO21, FH, GART, GEMIN6, GLO1, GTF2H5, HACL1, HADH, HINT2, HNRNPA0, HSPE1, INTS9, JTV1, KIAA1128, KLF9, KRT10, LETMD1, MED10, METTL5, MEX3C, MIS12, MRPL15, MRPL21, MRPL32, MRPL35, MRPL43, MRPL45, MRPL46, MRPS27, MRPS30, MRPS33, NAE1, NAT5, NDUFA9, NIF3L1, NIP7, NXT1, PDCD2, PDCD5, PEPD, PFDN1, PHACTR4, PIGP, PPHLN1, PPHLN1, PRKCQ, PWP1, RAB7L1, RABGGTB, RCN2, RPAIN, RPUSD4, SCO1, SLC25A25, SNRPC, TCEAL4, TFB2M, TGIF1, TH1L, TMEM126A, TMEM203, TMEM4, TOMM20, WDR33, WDR57, WDR61, ZC3HC1, ZCCHC7, ZFP90, ZNF22, ZNF800"
M12.2,A26,Monocytes,"ALDH1A1, ALDH2, ASAHL, ASAHL, ASGR1, ASGR2, ASGR2, C4ORF18, C4ORF18, CARD9, CCR2, CCR2, CD163, CD300C, CD33, CD36, CD36, CD86, CEBPA, CENTA2, CPVL, CPVL, CSF1R, CTSH, CYBB, CYFIP1, CYP1B1, DPYSL2, EDG3, EMILIN2, EPB41L3, FLJ21986, FLVCR2, FZD2, HNMT, IFI30, KIAA1598, KLF4, KYNU, KYNU, LY86, MAFB, MGST1, MS4A6A, MS4A6A, MTMR11, PLA2G7, PLXNB2, RNASE4, SLC7A7, TGFBI, VCAN"
M12.3,A1,Cell cycle,"ABCE1, ABCE1, AGK, AKAP11, AKAP11, ANAPC1, BMS1, C19ORF2, C1ORF181, CCDC6, CDK6, CIRH1A, DIS3L, DNAJA3, DNAJC10, DPH2, ELP3, FAM62B, FBXO31, FLJ20160, FVT1, GARNL1, GFM1, GLOD4, GTPBP4, HS.213061, HS.276860, IARS, KIAA0020, LANCL1, LANCL1, LOC647346, LPAR5, LPIN1, MAP3K4, MBNL2, MKI67IP, NKRF, NOC3L, NOL11, NPAL3, NUP160, NUP205, OGFOD1, ORC5L, PPP1R16B, PRMT6, PRPS1, PTPLB, RASGRP3, RFC1, SEPHS1, SLC4A7, STAMBPL1, STK39, TP53RK, TTC19, TTC4, UBQLN4, UTP14A, WBSCR22, WDR4, WDR54, WDR67, WWP1, XPO4, ZBTB24, ZFP161, ZMYND11, ZNF146, ZNF544, ZNF816A, ZZZ3, ZZZ3"
M12.4,A2,Gene transcription,"AKR7A2, ARHGAP17, ARL2, ASPSCR1, BCKDHA, BRD9, C11ORF2, C14ORF173, C17ORF61, C17ORF70, C19ORF53, C2ORF29, C6ORF153, C7ORF50, CCDC12, CCDC56, CHMP4A, CPSF4, CXXC1, E4F1, EDC4, EMD, ETFB, EXOSC1, FASTK, GPS1, GTPBP6, HARS, HCFC1, IDH3B, LOC339123, MCM7, MRPL22, MRPL37, NDUFA8, NENF, NHP2L1, NT5C, NUDC, PEX16, PLD3, PSMC5, PUF60, QRICH1, RBM14, RCC2, REPIN1, RPP21, SF3A3, SIVA, SMARCA4, SPNS1, SUSD3, TJAP1, TRAPPC2L, TRPT1, TUSC4, TXLNA, UBAC2, VIL2, YARS, ZDHHC16"
M12.5,A3,Protein modification,"ACBD3, ACVR1, AGGF1, ANGEL2, ANKRD49, AP3M1, APPBP2, ARHGEF7, ASB3, ASNSD1, BAG5, BTBD6, C13ORF23, C14ORF135, C14ORF135, C21ORF66, C2ORF64, C4ORF41, C5ORF5, C7ORF26, CABC1, CCDC117, CCDC16, CCDC16, CDC2L5, CHD8, CLK2, CUL2, DDX23, DENR, DERL1, DMTF1, EIF4G1, ERCC5, FAM122B, FLJ10081, FXR1, GMEB2, GNPTG, HEATR5B, HECTD1, HNRNPC, HS.475334, HS.92308, INTS10, KIAA0157, KIAA0196, KIAA0907, KIAA1191, KIAA1370, KIAA1370, KIAA1712, KLHL9, LASS6, LEMD3, LOC285636, LOC400027, MACF1, MKRN2, MRPS10, MSH6, MST4, MTIF2, OMA1, PCM1, POLR2B, PRPSAP1, PUM1, RAB22A, RAB3GAP1, REV1, RPS6KB1, SCFD1, SLC30A7, SLC35E1, SLTM, SMARCC1, SMC3, SRRM1, TAF4, TBP, TFAM, TMEM41B, TNPO2, UBE3C, USP16, USP16, USP24, VPS36, ZBED5, ZFYVE20, ZNF274, ZNF434, ZNF598, ZNF721"
M12.6,A1,T cells,"AXIN2, BCL11B, C10ORF38, CCDC104, CCNB1IP1, CD40LG, CXCR7, D4S234E, FAM102A, FAM84B, FBXO32, FCGBP, GPR18, HS.447508, HS.564504, HS.567464, KLHL3, LRRN3, LRRN3, LY9, MAGEE1, MAN1C1, MGC52498, NELL2, NMT2, NR3C2, PASK, PASK, PLEKHB1, SIDT1, SIRPG, TCEA3, TSEN54, ZNF256, ZNF548"
M12.7,A1,Protein synthesis,"C6ORF48, EEF1B2, EEF1G, EIF3EIP, LOC127295, LOC158345, LOC283345, LOC283412, LOC284821, LOC285053, LOC285900, LOC347292, LOC347544, LOC390354, LOC440737, LOC642989, LOC644029, LOC644511, LOC645688, LOC648622, LOC651436, LOC653232, LOC728481, LOC731985, LOC91561, RPL12, RPL13, RPL13A, RPL17, RPL3, RPS2, RPS4X, RPS4X, RPS5, RTN2, UBA52"
M12.8,A1,B cells,"AFF3, BANK1, BLK, CCR6, CD19, CD72, CD79A, CD79B, CD79B, COBLL1, CXCR5, E2F5, EBF1, FAM129C, FCER2, FCRL2, FCRLA, GNG7, HLA-DOA, HLA-DOB, HS.91389, LOC90925, MS4A1, OSBPL10, TCL1A, TSPAN13, TSPAN13, VPREB3"
M12.9,A38,Protein phosphorylation,"ANP32B, AP2S1, ATP5EP2, BRP44, CARHSP1, CCNI, CHP, CLCN3, CMAS, CMAS, CTSB, CYB5R3, EIF1, EIF4EBP2, ERAL1, FEM1A, GNAS, GPS2, HCCA2, HPCAL1, ISCU, KIAA0430, LOC285074, LOC407835, MAP2K2, PCBP2, PCBP2, PIK3R2, PQLC1, PRDX5, RAB6A, RALBP1, REXO2, RFNG, ST13, STAU1, TBPL1, TRAPPC5, TRIP12, TUBB2C, UBE2D3, UBE2M, VPS28, YY1AP1"
M12.10,A35,Inflammation,"ABTB1, ALOX5, ATG16L2, C10ORF54, CEBPD, CENTD3, CRISPLD2, CXCL16, EDG4, EMR2, FAM53C, FRAT2, GALNAC4S-6ST, IGF2R, IGSF6, IL13RA1, ITGAX, LAMP2, LILRB3, MBD6, MBOAT7, MXD1, MYO1F, NARF, NCF1C, NDEL1, NUMB, PFKFB4, PILRA, RAB24, RAF1, RNF130, RTN3, SIRPA, SKAP2, SLC12A9, SLC25A44, SSH2, STX3, SVIL, TBXAS1, TIMP2, TLR8, TMEM71, TNFRSF1A, TSEN34, TSEN34, UBN1, ULK1, ULK1, USP10, XPO6, ZNF467, ZNF746, ZYX"
M12.11,A37,Erythrocytes,"ALDH5A1, ALDH5A1, BNIP3L, BNIP3L, C20ORF108, DNAJA4, FAM104A, HBD, HS.105618, HS.291319, ISCA1L, LOC389293, MPP1, MXI1, PRDX2, PRDX2, RAB2B, RAD23A, RIOK3, RPIA, SIAH2, SLC1A5, TFDP1, TFDP1, TRAK2, TSTA3, UBE2O, YOD1"
M12.12,A25,Oxidative stress,"MARCH1, ADSS, ARL6IP6, ATP5F1, C10ORF78, C3ORF38, CASC4, CDC42SE2, CNBP, CNIH, DC2, FAM18B, FAM18B, FAM18B2, FNTA, GABPA, LOC390466, LOC643357, LOC644762, LOC647349, LOC649555, LOC652489, LOC653226, LYPLA1, PRDX3, PRDX3, PSMA1, PSMD6, SLC25A40, SUMO2, TNFAIP8, TSNAX, UBA3"
M12.13,A24,Oxidative phosphorylation,"ANAPC11, ATP5F1, ATP5H, ATP5I, ATP5J, ATP5J, ATP5J2, C11ORF10, C20ORF52, CHCHD9, CIP29, COX17, COX5B, COX7B, COX8A, ETFA, FAM96A, GTF2A2, GTF2F2, LOC644863, LOC647340, LOC650518, MRPL33, MRPS18C, NOL7, NRAS, PLAC8, PLAC8, POLR2F, POMP, PPP2R5C, PSMA1, PSMA4, PSMA4, PSMA6, PSMA6, PSMB1, RPS27L, SEC61B, SLC35B1, SRP14, SRP54, SRP54, TCEB1, TMCO1, TPI1, TXNDC1, TXNDC17, UBE2E1, UQCRFS1, VPS25, ZNF207"
M12.14,A29,TBD,"C14ORF24, CCR6, DAPP1, FARSLB, FLJ41423, GGA1, ITIH5, LILRB3, LOC389517, LOC643509, MGC16703, MSH3, ORC6L, PDCD7, PDSS2, RN7SL1, ROCK2, SHCBP1, WDR23, ZNF655"
M12.15,A27,Cell cycle,"ABCB9, CCNB2, CD38, CDC20, CDCA5, IGJ, IGLL3, KIAA0101, LOC649923, LOC652775, MGC29506, TNFRSF17, TOP2A, TXNDC5, TXNDC5, TYMS, UBE2C, UBE2C, UHRF1"
M13.1,A35,Inflammation,"ABTB1, ACAA1, ACSS2, AIF1, ANKRD13A, AOAH, APAF1, ARHGAP9, ARID3A, ATP6V0D1, AXUD1, C17ORF62, C20ORF24, C9ORF19, CAB39, CAPZA2, CASP1, CD300A, CD55, CDKN2D, CHMP2A, CKLF, CLEC12A, CLEC12A, CLEC4A, CLEC4A, CNIH4, CSNK1D, CYP4F3, DHRS7, E2F3, EDG6, EHD1, FBXL5, FES, FGR, FKBP1A, FLOT2, FTH1, FTHL11, FTHL3, G6PD, GAPDH, GRN, GRN, HIST1H2BK, HMGB2, HSPA1B, IFNGR1, IL10RB, IMPDH1, IQGAP1, KIAA1949, LAMP2, LAMP2, LAMP2, LILRA2, LMO2, LOC730744, LRP10, LST1, LST1, M6PRBP1, MAPK1, MAPK3, MGC4677, MIDN, MLKL, MS4A6A, MSRB2, MVP, MYD88, NADK, NBEAL2, NCSTN, NFKBIZ, NOLA3, NOTCH1, NRD1, OBFC2A, OSTF1, P2RY13, PACSIN2, PADI4, PARP9, PCNX, PELI1, PELO, PHF21A, PICALM, PLOD1, PPM1M, PPP1R15A, PPP2R5A, PRCP, PRCP, PRKCD, PTEN, PTPN12, PTPRE, PTPRE, PYCARD, RAB24, RAB32, RAB6IP1, RARA, RASSF2, RBMS1, RPS6KA1, RXRA, S100A6, SELL, SFXN4, SIGLEC10, SLA, SLC15A3, SLC15A4, SLC31A2, SLC40A1, SLC9A1, SMAP2, SNX27, STAT3, STAT5B, STX10, SYK, TBC1D14, TBL1X, TCIRG1, TIMP1, TKT, TLN1, TMEM91, TNFRSF1B, TNFSF13B, TOM1, TPD52L2, TPST2, TST, TXN, TXN, USP3, ZFP106, ZFP106, ZFP36, ZMIZ1, ZYX"
M13.2,A1,Gene transcription,"AKR1B1, ALS2CR13, APEX1, APEX1, ARL2BP, ATM, ATM, ATP6V0E2, BCL11A, BIN1, BTN3A2, C12ORF47, C12ORF57, C1QBP, C21ORF33, C5ORF39, C7ORF23, CCND2, CD2, CD47, CLNS1A, CYFIP2, DDX1, DDX18, DDX47, DENND2D, DKC1, DNMT1, DOCK10, EBI2, EEF1D, EIF3F, EIF3M, EPRS, ESD, FBXL10, FNBP4, FOXO1, FYN, GIMAP6, HLA-DQA1, ID2, ILF2, IMP3, ITK, ITM2A, LEPROTL1, LOC124512, LOC439949, LOC728554, LOC730432, LPXN, LSM5, LSM7, MCM3, MDH1, MFNG, MRPL3, MRPS24, MTSS1, MYC, NAP1L1, NCL, NSMCE4A, NUP43, OCIAD2, PABPC4, PCID2, PPIL3, PRKCH, PRKRIR, RFX5, RPAIN, RPL22, RSL1D1, SET, SHMT2, SLC38A1, SNRPA1, SNRPF, SNRPF, ST6GAL1, STARD7, STAT4, TIGA1, TINP1, TOP2B, TRAF3IP3, TTC3, UBE2N, ZMYM6, ZNF22, ZNF302, ZNHIT3, ZRANB2"
M13.3,A35,TBD,"ACSS2, ANKRD33, APH1B, ATF6, ATG7, B9D2, C11ORF56, C14ORF94, C9ORF72, CBARA1, CD82, CENTD2, CFP, CORO1C, CSF2RA, CSF2RA, CTNNA1, CTSD, CUTL1, DDEF1, DIRC2, DJ341D10.1, EDEM2, ELL, ENTPD1, ERO1L, ETS2, ETV6, EXOC6, FAM100B, FAM129B, FBXO38, FERMT3, FKBP5, G6PD, GADD45A, GAS7, GBA, GBA, GBE1, GNA15, GNAI3, GNB2, HDAC4, HIATL1, HK2, HK2, HLX, HMGB2, HSDL2, IER3, IRS2, KBTBD7, KIAA0513, LOC644642, LOC728069, LPGAT1, LRRC25, LRRFIP2, LRRFIP2, LTB4R, MAP3K2, MAPK1, MEGF9, MICAL1, MSRA, MTX1, MVP, NBN, NDRG1, NLRX1, OPRL1, OSBPL8, OSCAR, P2RX1, PDK3, PFKFB3, PGM1, PHCA, PIM3, PLEKHO2, PLP2, PPP1R3D, PRAM1, QSOX1, RILPL2, RNF144B, RRAGD, RRP12, SHKBP1, SIRPA, SLC37A3, SORT1, SQRDL, TACC3, TBC1D2, TEF, THOC5, THOC5, TM6SF1, TMCO3, TMEM120A, WIPI1, YIPF1, YIPF1, ZBTB34"
M13.4,A2,Protein synthesis,"ACTR1B, AK3, AOF2, AP4B1, APOL3, ASNS, ATP8B2, BEXL1, BOP1, C16ORF58, C19ORF12, C1ORF164, C3ORF37, C6ORF192, C8ORF40, C8ORF55, C9ORF114, CARD11, CCDC45, CECR5, COPS7B, CPSF1, CSNK1E, DCXR, DDHD2, DEXI, DGKA, DGKA, DMAP1, DMAP1, DNLZ, ECHS1, EIF2B5, ERCC1, EXOSC8, FAM136A, FN3KRP, GALT, GCN5L2, GPD1L, HAX1, HCST, HS.213541, IL18BP, ILF3, IMP4, ITFG2, KLHL22, LARS, LAT, LCMT1, LETMD1, LOC727820, LOC730256, LSM4, LTA, MAN1B1, MCEE, MEF2D, MRPL11, MRPL11, MRPL41, MRPS18B, MRPS21, MRPS7, MT1X, MTP18, MUTYH, NAT10, NDUFV1, NICN1, NOL1, NOL6, NSMCE1, NUDT1, PAFAH1B3, PCNT, PEX11B, PH-4, PHF15, PMPCA, PNPO, POLR2H, PPIH, PSMD8, PTGES2, PUS1, R3HCC1, RAB11FIP3, RANGAP1, RASSF7, RNF216, RNMTL1, RP9, RPL7L1, RPUSD3, SAMM50, SCAMP3, SCRIB, SF3B3, SLC25A42, SLC41A3, SMAD3, SMCR7L, SRPRB, STRA13, TH1L, TMEM138, TMEM150, TMEM156, TOMM22, TOMM40, TSPAN31, TYSND1, UBE2G2, UCHL5IP, UQCC, WDR18, XAB1, ZC3H5, ZNF266, ZNF342"
M13.5,A32,Cell death,"2-Sep, ADPGK, AKAP13, AMD1, ANAPC13, ANKRD11, AP1G1, AP3B1, ARFGEF1, ARID1A, ARPC1A, ASB8, ASH2L, BANP, BAT2D1, C3ORF19, CASP9, CCDC128, CDC2L6, CHFR, CLP1, CMTM3, COPS7A, COQ10B, CRKL, CTDSP2, CUL4B, DOCK2, DPF2, DSCR3, DUSP22, DYNC1LI2, EIF4G2, ERICH1, FAM120A, FAM120B, FAM131A, FBXO11, FBXO38, GALC, GAPVD1, GATAD2A, GLB1, GNB1, GOLGA5, GPBP1L1, HS.5724, HSBP1, JARID1A, KBTBD2, KCTD5, KIAA0174, KIAA0892, KIAA1219, KLHL12, LAMP1, LARP5, LASS2, LOC387820, LOC400890, LOC644033, LOC650152, LOC728556, MARK3, MEMO1, MKKS, MKLN1, MLSTD2, MTM1, MTMR14, MTRF1L, NBPF11, NCOA6, NECAP1, NUFIP2, NXF1, OXSR1, PAFAH1B1, PARP4, PCF11, PHF2, PHF3, PHKB, PLCG2, PLEKHA2, PPP2R2A, PREI3, PRKAA1, RAB11A, RAE1, RBM25, RCSD1, RIPK1, RNF103, RNF19A, RNF38, SAP130, SCAP, SCLT1, SEMA4D, SENP2, SETD2, SF3B1, SFRS17A, SFRS4, SH3KBP1, SLMAP, SMAD4, SMG1, SPEN, STAMBP, STK38, STS-1, STX6, TACC1, TAX1BP1, TBC1D20, TGOLN2, TLK2, TMEM2, TMEM50A, TRIM39, TUG1, UPF2, USP4, USP9X, VEZF1, VPS4B, WDR1, YWHAZ, ZC3H7A, ZDHHC7, ZFAND5, ZNF586"
M13.6,A1,Gene transcription,"AASDHPPT, ACTR6, ADO, AES, API5, ARMC1, BBS2, BCL2, BTN3A3, BUB3, BUB3, C10ORF104, C10ORF32, C18ORF17, C21ORF57, C9ORF5, CCDC25, CD69, CDC23, CDK4, CDK5RAP1, CNOT7, COPS8, CSTF3, CTSO, CUL5, CXORF26, CYP4V2, DC2, DCK, DPH5, EBAG9, EP400, EXOSC10, EXOSC6, FAM133B, FAM43A, FARS2, FLJ11171, FLJ20718, FOXK1, FUBP3, FYN, G3BP1, GEMIN4, GLS, GRPEL2, IAH1, IARS2, IBTK, KCTD6, KIAA0355, KIAA0372, KIAA0391, KIAA1826, KTN1, LAGE3, LOC203547, LOC402644, LOC644096, LRBA, LYRM2, MAGED1, MCCC1, METAP1, METTL3, MGC12966, MGC3207, MOAP1, MRPL14, MRPL50, MRPL54, MRPS27, MRPS35, MTCP1, MTERFD1, MTO1, NCBP2, NFX1, NGDN, NGDN, NHP2L1, NOP5/NOP58, NPIP, NUDT21, NUP54, NUPL2, P117, PDCD2, PPP1R2, PRKRA, PRMT1, PRMT3, PSIP1, PURA, RABGGTB, RBMX, RDH14, RNMT, RPUSD2, RYK, SDAD1, SERBP1, SFRS7, SIVA, SKIV2L2, SMAD5, SNUPN, SNURF, SNX4, SP4, SUCLA2, SUCLG2, TCEAL8, THUMPD1, TMED10, TMEM160, TMEM203, TMEM209, TMEM42, TMEM50B, UBE3A, UBE3A, UFM1, WDR75, ZFAND1, ZNF621, ZNF627, ZNF689, ZNHIT3"
M13.7,A33,TBD,"ABHD3, ACSL3, AHCTF1, AKAP13, ANXA11, AP3S1, ARFGAP3, ARFIP1, ARHGAP19, ARNTL, ATP2B4, ATP2B4, C14ORF100, C14ORF138, C1ORF119, CAMK1D, CAMK2G, CBL, CCDC49, CCNG2, CDC123, CENTB2, CHMP2B, CHUK, CRK, CRK, DICER1, DIP2B, DNAJB6, DPYD, DUSP18, DYRK1A, DYRK1A, ELMO1, FAM48A, FEM1C, HBP1, HERC4, HNRNPL, IFNAR2, ITFG1, IVNS1ABP, IVNS1ABP, JARID1B, JMJD1B, KIDINS220, KLHL5, KLHL8, LACTB, LASS2, LGALS8, LOC644935, LYST, MANBA, MAP3K8, MAP4K4, ME2, ME2, MIER1, MTMR6, NCOA7, NIPBL, NPEPPS, NUAK2, NUP153, OSBPL9, PAM, PANK2, PAPSS1, PELI2, PHF20L1, PTPN12, PTTG1IP, RFFL, RMI1, RNF135, RNF145, SCYL2, SDF2, SENP6, SERINC1, SLK, SMCHD1, SP3, SPAG9, SPAST, ST8SIA4, STAU1, STX7, STXBP3, TBC1D15, TBK1, TMEM55A, TXNRD1, UGP2, USP15, USP38, VCPIP1, WIPF1, XRN2, ZDHHC17, ZNF143, ZSWIM6"
M13.8,A3,TBD,"AMY2A, ANKRA2, ARGLU1, C6ORF111, CAPRIN2, CCDC14, CCDC84, CROP, CRYZL1, CXORF45, D2HGDH, DIDO1, ENOSF1, FYN, GALK2, GOLGA8B, GSDML, GSDML, GUSBL1, HNRPDL, HS.143408, HS.409512, IL11RA, LOC132241, LOC153561, LOC338799, LOC728565, LOC728888, LOC729559, MZF1, NKTR, NKTR, NSUN5, NSUN5C, OGT, OGT, PDE7A, PLA2G4B, PLCH2, PRPF4B, RBM6, SEPT1, SEPT6, SFRS14, SFRS5, SMA4, SNORA25, SNORA70, STAG3L2, TAF1C, TAGLN, TARDBP, TPM2, TTC13, TTC14, TTC14, VAMP1, WDR33, ZNF83"
